subgroup_type,subgroup,cases,accuracy,mean_probability,ece,calibration_direction
claim_type,behavioral_health,20,0.95,0.9272464175120214,0.022753582487978763,underconfident
claim_type,imaging,63,0.9206349206349206,0.9281348682306861,0.03487564507348977,near_calibrated
claim_type,office_visit,70,0.9142857142857143,0.9274759108439633,0.013190196558248936,overconfident
claim_type,pharmacy,39,0.9743589743589743,0.9275891014830304,0.04676987287594372,underconfident
claim_type,preventive,41,0.975609756097561,0.9289962415195261,0.04661351457803512,underconfident
claim_type,procedure,67,0.9701492537313433,0.9275377025678859,0.042611551163457356,underconfident
policy_category,commercial,141,0.9574468085106383,0.9288773866734293,0.02856942183720916,underconfident
policy_category,exchange,42,0.9761904761904762,0.9304873054624443,0.04570317072803186,underconfident
policy_category,medicaid_managed,39,0.8461538461538461,0.919654855296968,0.08829350918355082,overconfident
policy_category,medicare_advantage,78,0.9615384615384616,0.928613692731799,0.03292476880666312,underconfident
provider_type,facility,39,0.9743589743589743,0.9316780772751889,0.042680897083785446,underconfident
provider_type,health_system,117,0.9145299145299145,0.9283639034175799,0.03900207520271021,overconfident
provider_type,independent_practice,81,0.9753086419753086,0.9269665691942154,0.04834207278109327,underconfident
provider_type,specialty_group,63,0.9523809523809523,0.9255916178050411,0.026789334575911244,underconfident
member_group,group_a,130,0.9307692307692308,0.9277255255732936,0.006197504705177822,near_calibrated
member_group,group_b,75,1.0,0.9282873473280802,0.07171265267192022,underconfident
member_group,group_c,67,0.9104477611940298,0.9285488523238703,0.04040325916324143,overconfident
member_group,group_d,28,0.9642857142857143,0.9254265450073127,0.03885916927840148,underconfident
